highway,km,buraco,remendo,trinca,placa,drenagem
262,0.0,1111,198,593,44,462
262,1.0,561,165,549,0,407
262,2.0,308,132,539,11,385
262,3.0,395,220,539,33,396
262,4.0,66,220,528,33,373
262,5.0,440,88,550,66,363
262,6.0,813,187,539,55,286
262,7.0,561,143,527,11,352
262,8.0,1001,363,517,22,384
262,9.0,792,198,549,33,385
262,10.0,194,243,344,57,238
262,11.0,558,60,300,0,186
262,12.0,270,198,294,24,216
262,13.0,450,210,294,30,210
262,14.0,600,143,294,36,180
262,15.0,900,210,566,139,376
262,16.0,1064,154,699,98,336
262,17.0,644,182,685,28,308
262,18.0,602,434,686,139,280
262,19.0,686,447,671,182,350
262,20.0,1371,672,686,28,364
262,21.0,1022,419,686,168,504
262,22.0,462,98,686,112,391
262,23.0,587,280,672,28,224
262,24.0,602,224,672,0,518
262,25.0,784,406,672,0,419
262,26.0,476,1105,685,42,476
262,27.0,238,854,700,167,350
262,28.0,56,840,672,210,321
262,29.0,78,222,300,36,174
262,30.0,18,102,288,36,89
262,31.0,78,666,282,48,30
262,32.0,30,71,294,36,186
262,33.0,114,426,294,84,108
262,34.0,856,2774,812,312,505
458,98.0,0,0,413,52,102
458,99.0,611,561,2448,51,611
458,100.0,51,102,2497,153,510
458,101.0,204,357,2447,306,459
458,102.0,459,815,2498,305,51
458,103.0,663,1325,2447,102,51
458,104.0,0,51,2600,51,408
458,105.0,0,51,2446,51,102
458,106.0,306,917,2499,51,152
458,107.0,102,1224,2446,51,306
458,108.0,51,0,2549,254,969
458,109.0,51,254,2549,459,561
458,110.0,0,0,2498,306,561
458,111.0,0,510,2446,153,306
458,112.0,101,51,2448,306,561
458,113.0,0,51,2396,0,1733
458,114.0,0,102,2498,510,1171
458,115.0,51,0,2498,102,969
458,116.0,0,102,2549,204,1223
458,117.0,0,0,2497,204,1020
474,117.0,0,0,0,8,0
458,118.0,204,51,2447,0,1070
474,118.0,0,39,649,286,39
458,119.0,255,102,2446,102,306
474,119.0,0,26,637,65,13
458,120.0,0,51,2447,204,408
474,120.0,0,26,623,156,26
458,121.0,255,0,2497,51,357
474,121.0,0,0,624,169,91
458,122.0,204,102,2497,459,867
474,122.0,0,0,636,182,117
458,123.0,51,51,2447,153,408
474,123.0,0,0,624,52,234
458,124.0,50,357,2446,51,1275
474,124.0,26,65,623,78,221
458,125.0,153,255,2446,102,969
474,125.0,0,39,624,182,286
458,126.0,102,0,2498,51,102
474,126.0,0,52,649,65,429
458,127.0,0,102,2448,102,51
474,127.0,0,156,637,221,403
458,128.0,102,0,2497,51,102
