highway,km,buraco,remendo,trinca,placa,drenagem
458,98.0,0,0,413,52,102
458,99.0,611,561,2448,51,611
458,100.0,51,102,2497,153,510
458,101.0,204,357,2447,306,459
458,102.0,459,815,2498,305,51
458,103.0,663,1325,2447,102,51
458,104.0,0,51,2600,51,408
458,105.0,0,51,2446,51,102
458,106.0,306,917,2499,51,152
458,107.0,102,1224,2446,51,306
458,108.0,51,0,2549,254,969
458,109.0,51,254,2549,459,561
458,110.0,0,0,2498,306,561
458,111.0,0,510,2446,153,306
458,112.0,101,51,2448,306,561
458,113.0,0,51,2396,0,1733
458,114.0,0,102,2498,510,1171
458,115.0,51,0,2498,102,969
458,116.0,0,102,2549,204,1223
458,117.0,0,0,2497,204,1020
458,118.0,204,51,2447,0,1070
458,119.0,255,102,2446,102,306
458,120.0,0,51,2447,204,408
458,121.0,255,0,2497,51,357
458,122.0,204,102,2497,459,867
458,123.0,51,51,2447,153,408
458,124.0,50,357,2446,51,1275
458,125.0,153,255,2446,102,969
458,126.0,102,0,2498,51,102
458,127.0,0,102,2448,102,51
458,128.0,102,0,2497,51,102
458,129.0,0,51,2448,356,306
458,130.0,102,102,2498,51,968
458,131.0,204,51,2446,51,102
458,132.0,0,51,2498,153,663
458,133.0,102,51,2446,357,1071
458,134.0,102,51,2548,255,255
458,135.0,0,51,2497,255,306
458,136.0,204,204,2498,357,153
458,137.0,255,561,2497,102,510
458,138.0,51,407,2498,408,561
458,139.0,152,102,2550,51,306
458,140.0,0,204,2447,306,1019
458,141.0,51,866,2447,102,153
458,142.0,204,408,2549,663,1121
458,143.0,153,255,2497,153,1275
458,144.0,357,561,2447,458,968
458,145.0,357,102,2395,255,1581
